Code,Name,Identified deaths,,,,,Estimated deaths3,,,,,"Estimated deaths per 100,000 total population4",,,,,5 years combined
W06000009,Pembrokeshire                                     ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
W06000010,Carmarthenshire                                   ,0,0,0,2,0,0,0,0,2,0,0,0,0,,0,
W06000011,Swansea                                           ,0,1,4,3,1,0,1,5,4,1,0,,2.6,2,,1.2
W06000012,Neath Port Talbot                                 ,0,0,0,2,0,0,0,0,2,0,0,0,0,,0,
W06000013,Bridgend                                          ,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,
W06000014,Vale of Glamorgan                                 ,2,0,1,1,0,2,0,1,1,0,,0,,,0,1
W06000015,Cardiff                                           ,7,1,3,5,3,9,1,4,6,4,3.2,,1.3,2.2,1.3,1.7
W06000016,Rhondda Cynon Taf                                 ,0,0,1,0,1,0,0,1,0,1,0,0,,0,,
W06000018,Caerphilly                                        ,2,0,1,0,0,2,0,1,0,0,,0,,0,0,0.5
W06000020,Torfaen                                           ,1,0,1,1,0,1,0,1,1,0,,0,,,0,1.1
W06000021,Monmouthshire                                     ,1,0,1,0,0,1,0,1,0,0,,0,,0,0,
W06000022,Newport                                           ,0,1,4,2,0,0,1,5,2,0,0,,4.4,,0,1.5
W06000024,Merthyr Tydfil                                    ,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,
