Region,year,value,housing_costs,poverty_type
UK,04-07,30,After Housing Costs,Relative poverty
Wales,05-08,33,After Housing Costs,Relative poverty
UK,05-08,31,After Housing Costs,Relative poverty
Wales,06-09,32,After Housing Costs,Relative poverty
UK,06-09,31,After Housing Costs,Relative poverty
Wales,07-10,33,After Housing Costs,Relative poverty
UK,07-10,30,After Housing Costs,Relative poverty
Wales,08-11,31,After Housing Costs,Relative poverty
UK,08-11,29,After Housing Costs,Relative poverty
Wales,09-12,33,After Housing Costs,Relative poverty
UK,09-12,28,After Housing Costs,Relative poverty
Wales,10-13,32,After Housing Costs,Relative poverty
UK,10-13,27,After Housing Costs,Relative poverty
Wales,11-14,31,After Housing Costs,Relative poverty
UK,11-14,27,After Housing Costs,Relative poverty
Wales,12-15,29,After Housing Costs,Relative poverty
UK,12-15,28,After Housing Costs,Relative poverty
Wales,13-16,30,After Housing Costs,Relative poverty
UK,13-16,29,After Housing Costs,Relative poverty
Wales,14-17,28,After Housing Costs,Relative poverty
UK,14-17,30,After Housing Costs,Relative poverty
Wales,15-18,29,After Housing Costs,Relative poverty
UK,15-18,30,After Housing Costs,Relative poverty
